Date,NVDA.O (TRDPRC_1),JPM (TRDPRC_1),GS (TRDPRC_1),AAPL.O (TRDPRC_1),MSFT.O (TRDPRC_1),TSLA.O (TRDPRC_1),META.O (TRDPRC_1),GOOGL.O (TRDPRC_1),BLK (TRDPRC_1),BX (TRDPRC_1),TSM (TRDPRC_1),XAU= (BID),AMZN.O (TRDPRC_1),WMT (TRDPRC_1),COST.O (TRDPRC_1),NKE (TRDPRC_1),PFE (TRDPRC_1),TSN (TRDPRC_1),SPY (TRDPRC_1),F (TRDPRC_1)
,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
21/11/2025,182.8,298.76,778.99,272.88,475.14,400.57,596.86,302.23,1009.2,141.97,277.67,4090.59,221.07,105.42,901.48,63.06,25.28,53.74,663.13,12.89
20/11/2025,180.64,298.38,773.7,266.25,478.43,395.23,589.15,289.45,992.52,138.42,277.5,4076.99,217.14,107.11,893.29,61.43,24.4,52.71,652.53,12.41
19/11/2025,186.52,303.27,785.99,268.56,487.12,403.99,590.32,292.81,1014.68,138.65,282.37,4080.66,222.69,100.61,890.6,62.64,24.88,53.05,662.63,12.9
18/11/2025,181.36,299.41,776.3,267.44,493.79,401.25,597.69,284.28,1019.14,136.53,277.91,4067.6,222.55,101.39,895.08,62.49,25.45,53.66,660.08,13.02
17/11/2025,186.6,300.37,775.56,267.46,507.49,408.92,602.01,285.02,1023.8,138.42,282.01,4044.25,232.87,102.95,912.59,62.9,25.08,53.11,665.67,12.88
14/11/2025,190.17,303.61,790.91,272.41,510.18,404.35,609.46,276.41,1057.94,141.44,284.82,4079.25,234.69,102.48,922.98,64.17,25.06,53.98,671.93,13.19
13/11/2025,186.86,309.48,805.5,272.95,503.29,401.99,609.89,278.57,1069.65,139.53,282.2,4171.1,237.58,102.54,925.08,66.03,25.79,54.3,672.04,13.28
12/11/2025,193.8,320.41,838.97,273.47,511.14,430.6,609.01,286.71,1093.93,144.36,290.62,4198.44,244.2,103.44,914,64.2,25.87,54.06,683.38,13.45
11/11/2025,193.16,315.62,810.31,275.25,508.68,439.62,627.08,291.31,1085.76,144.98,291.17,4126.44,249.1,103.44,913.86,63.15,25.51,55.51,683,13.3
10/11/2025,199.05,316.89,797.2,269.43,506,445.23,631.76,290.1,1082.63,144.3,295.27,4115.66,248.4,102.42,915.56,60.8,24.39,53.9,681.44,13.16
07/11/2025,188.15,314.21,786.34,268.47,496.82,429.52,621.71,278.83,1082.2,145.94,286.5,3998.72,244.41,102.59,922.74,61.09,24.43,52.68,670.97,13.21
06/11/2025,188.08,313.42,787.58,269.77,497.1,445.91,618.94,284.75,1069.44,143.43,289.24,3977.63,243.04,101.68,923.58,61.89,24.85,51.69,670.31,13.12
